species,tilt_axis,grain_energy,angle,model,crystal_type
Ag,"[0, 0, 1]","[0.59, 0.55]","[36.87, 53.13]",dft,fcc
Ag,"[1, 1, 0]","[0.51, 0.43]","[38.94, 109.47]",dft,fcc
Ag,"[1, 1, 1]","[0.54, 0.54]","[38.21, 180.0]",dft,fcc
Al,"[0, 0, 1]","[0.53, 0.48]","[36.87, 53.13]",dft,fcc
Al,"[1, 1, 0]","[0.43, 0.31]","[38.94, 109.47]",dft,fcc
Al,"[1, 1, 1]","[0.5, 0.46]","[38.21, 180.0]",dft,fcc
Au,"[0, 0, 1]","[0.52, 0.45]","[36.87, 53.13]",dft,fcc
Au,"[1, 1, 0]","[0.39, 0.34]","[38.94, 109.47]",dft,fcc
Au,"[1, 1, 1]","[0.44, 0.46]","[38.21, 180.0]",dft,fcc
Cu,"[0, 0, 1]","[1.0, 0.88]","[36.87, 53.13]",dft,fcc
Cu,"[1, 1, 0]","[0.94, 0.86, 0.37, 0.63, 0.72]","[26.53, 38.94, 50.48, 109.47, 148.41]",dft,fcc
Cu,"[1, 1, 1]","[0.92, 0.85]","[38.21, 180.0]",dft,fcc
Fe,"[0, 0, 1]","[1.89, 1.56]","[36.87, 53.13]",dft,fcc
Fe,"[1, 1, 0]","[1.75, 0.42]","[38.94, 109.47]",dft,fcc
Fe,"[1, 1, 1]","[1.42, 0.51]","[38.21, 180.0]",dft,fcc
Ni,"[0, 0, 1]","[1.38, 1.26]","[36.87, 53.13]",dft,fcc
Ni,"[1, 1, 0]","[1.16, 1.15]","[38.94, 109.47]",dft,fcc
Ni,"[1, 1, 1]","[1.33, 1.21]","[38.21, 180.0]",dft,fcc
Pb,"[0, 0, 1]","[0.28, 0.24]","[36.87, 53.13]",dft,fcc
Pb,"[1, 1, 0]","[0.24, 0.22]","[38.94, 109.47]",dft,fcc
Pb,"[1, 1, 1]","[0.23, 0.24]","[38.21, 180.0]",dft,fcc
Pd,"[0, 0, 1]","[1.0, 0.9]","[36.87, 53.13]",dft,fcc
Pd,"[1, 1, 0]","[0.85, 0.68]","[38.94, 109.47]",dft,fcc
Pd,"[1, 1, 1]","[0.95, 0.89]","[38.21, 180.0]",dft,fcc
Pt,"[0, 0, 1]","[1.09, 0.89]","[36.87, 53.13]",dft,fcc
Pt,"[1, 1, 0]","[0.77, 0.8, 0.46, 0.67, 0.85]","[26.53, 38.94, 50.48, 109.47, 148.41]",dft,fcc
Pt,"[1, 1, 1]","[0.88, 0.86]","[38.21, 180.0]",dft,fcc
Rh,"[0, 0, 1]","[1.68, 1.45]","[36.87, 53.13]",dft,fcc
Rh,"[1, 1, 0]","[1.31, 1.25]","[38.94, 109.47]",dft,fcc
Rh,"[1, 1, 1]","[1.54, 1.55]","[38.21, 180.0]",dft,fcc
